{'0_w_norm': 9.260208129882812, '0_w_mean': -1.4403989553102292e-05, '0_w_std': 0.020670175552368164, '0_w_max': 0.04456096887588501, '0_w_min': -0.04197011888027191, '0_g_norm': 0.4006651043891907, '0_g_mean': 1.2379805411910638e-06, '0_g_std': 0.0008943431312218308, '1_w_norm': 1.940560221672058, '1_w_mean': 0.0011693040141835809, '1_w_std': 0.03834334760904312, '1_w_max': 0.09946863353252411, '1_w_min': -0.07961732149124146, '1_g_norm': 0.2666802406311035, '1_g_mean': -1.1018528450756904e-10, '1_g_std': 0.005271760746836662}
{'0_w_norm': 9.262308120727539, '0_w_mean': -1.4727003872394562e-05, '0_w_std': 0.020674869418144226, '0_w_max': 0.0450611338019371, '0_w_min': -0.04234671965241432, '0_g_norm': 0.38097241520881653, '0_g_mean': 7.008075954217929e-06, '0_g_std': 0.0008503581047989428, '1_w_norm': 1.9505562782287598, '1_w_mean': 0.0011693040141835809, '1_w_std': 0.0385410450398922, '1_w_max': 0.10198971629142761, '1_w_min': -0.08060861378908157, '1_g_norm': 0.24427081644535065, '1_g_mean': 2.4374457313625086e-11, '1_g_std': 0.004828769247978926}
{'0_w_norm': 9.264469146728516, '0_w_mean': -1.5983072444214486e-05, '0_w_std': 0.02067967690527439, '0_w_max': 0.04556155204772949, '0_w_min': -0.04273054003715515, '0_g_norm': 0.4000328481197357, '0_g_mean': 2.1921157895121723e-05, '0_g_std': 0.0008926635491661727, '1_w_norm': 1.9607423543930054, '1_w_mean': 0.0011693040141835809, '1_w_std': 0.03874249756336212, '1_w_max': 0.10415421426296234, '1_w_min': -0.08145405352115631, '1_g_norm': 0.25894296169281006, '1_g_mean': 2.801243681460619e-10, '1_g_std': 0.005118809640407562}
{'0_w_norm': 9.266646385192871, '0_w_mean': -1.739176695991773e-05, '0_w_std': 0.020684538409113884, '0_w_max': 0.04610387235879898, '0_w_min': -0.04310745745897293, '0_g_norm': 0.4225805103778839, '0_g_mean': -3.344076503708493e-06, '0_g_std': 0.0009432564256712794, '1_w_norm': 1.970988154411316, '1_w_mean': 0.0011693037813529372, '1_w_std': 0.03894512355327606, '1_w_max': 0.10591312497854233, '1_w_min': -0.08224713802337646, '1_g_norm': 0.2824770212173462, '1_g_mean': -5.4160408796688486e-11, '1_g_std': 0.005584033206105232}
{'0_w_norm': 9.268866539001465, '0_w_mean': -1.9092227375949733e-05, '0_w_std': 0.020689480006694794, '0_w_max': 0.04654599726200104, '0_w_min': -0.04343552887439728, '0_g_norm': 0.4537273943424225, '0_g_mean': 3.7525682273553684e-05, '0_g_std': 0.001012091408483684, '1_w_norm': 1.9813570976257324, '1_w_mean': 0.0011693037813529372, '1_w_std': 0.03915019705891609, '1_w_max': 0.10784316807985306, '1_w_min': -0.08309478312730789, '1_g_norm': 0.31125175952911377, '1_g_mean': 7.162270993302244e-13, '1_g_std': 0.0061528547666966915}
{'0_w_norm': 9.271064758300781, '0_w_mean': -2.0042338292114437e-05, '0_w_std': 0.020694410428404808, '0_w_max': 0.04710358753800392, '0_w_min': -0.043774329125881195, '0_g_norm': 0.4253273606300354, '0_g_mean': 1.2591635822900571e-05, '0_g_std': 0.0009493103134445846, '1_w_norm': 1.9916512966156006, '1_w_mean': 0.001169303897768259, '1_w_std': 0.03935377672314644, '1_w_max': 0.10953646153211594, '1_w_min': -0.08400952816009521, '1_g_norm': 0.2667510211467743, '1_g_mean': -1.2473719279704198e-10, '1_g_std': 0.005273159593343735}
{'0_w_norm': 9.27344036102295, '0_w_mean': -2.13344901567325e-05, '0_w_std': 0.020699692890048027, '0_w_max': 0.047588225454092026, '0_w_min': -0.04416865482926369, '0_g_norm': 0.45108386874198914, '0_g_mean': 1.765575143508613e-05, '0_g_std': 0.0010067314142361283, '1_w_norm': 2.002620220184326, '1_w_mean': 0.0011693037813529372, '1_w_std': 0.03957071155309677, '1_w_max': 0.11108766496181488, '1_w_min': -0.08466272056102753, '1_g_norm': 0.30691224336624146, '1_g_mean': -3.892637254199194e-11, '1_g_std': 0.006067071110010147}
{'0_w_norm': 9.275906562805176, '0_w_mean': -2.2956188331590965e-05, '0_w_std': 0.020705213770270348, '0_w_max': 0.048086002469062805, '0_w_min': -0.044527243822813034, '0_g_norm': 0.3938915431499481, '0_g_mean': 2.7640080588753335e-05, '0_g_std': 0.0008787897531874478, '1_w_norm': 2.0140321254730225, '1_w_mean': 0.0011693036649376154, '1_w_std': 0.03979640081524849, '1_w_max': 0.11289265006780624, '1_w_min': -0.08551526069641113, '1_g_norm': 0.2564185857772827, '1_g_mean': -1.9390426764243074e-10, '1_g_std': 0.005068907514214516}
{'0_w_norm': 9.27818775177002, '0_w_mean': -2.342431434954051e-05, '0_w_std': 0.020710298791527748, '0_w_max': 0.048580534756183624, '0_w_min': -0.04482726752758026, '0_g_norm': 0.40547123551368713, '0_g_mean': 6.077130819903687e-06, '0_g_std': 0.0009050515946000814, '1_w_norm': 2.024480104446411, '1_w_mean': 0.0011693037813529372, '1_w_std': 0.04000302404165268, '1_w_max': 0.11464495211839676, '1_w_min': -0.08633415400981903, '1_g_norm': 0.2957310080528259, '1_g_mean': 3.019522409886122e-10, '1_g_std': 0.005846039392054081}
{'0_w_norm': 9.280657768249512, '0_w_mean': -2.448744089633692e-05, '0_w_std': 0.02071581594645977, '0_w_max': 0.04903431981801987, '0_w_min': -0.045146096497774124, '0_g_norm': 0.42584875226020813, '0_g_mean': 2.2222293409868143e-05, '0_g_std': 0.0009502978064119816, '1_w_norm': 2.035768508911133, '1_w_mean': 0.0011693037813529372, '1_w_std': 0.040226273238658905, '1_w_max': 0.11603284627199173, '1_w_min': -0.08697899430990219, '1_g_norm': 0.3157062232494354, '1_g_mean': -2.376964458594699e-10, '1_g_std': 0.006240910850465298}
