{'0_w_norm': 9.275962829589844, '0_w_mean': -3.9629710954613984e-05, '0_w_std': 0.02070530690252781, '0_w_max': 0.04953519627451897, '0_w_min': -0.04206133261322975, '0_g_norm': 0.5098161697387695, '0_g_mean': 1.1998349691566546e-05, '0_g_std': 0.0011379220522940159, '1_w_norm': 1.956481695175171, '1_w_mean': 0.0014149151975288987, '1_w_std': 0.038650013506412506, '1_w_max': 0.10349974781274796, '1_w_min': -0.07592088729143143, '1_g_norm': 0.3512542247772217, '1_g_mean': 6.257323825753502e-11, '1_g_std': 0.006943627260625362}
{'0_w_norm': 9.278487205505371, '0_w_mean': -4.16880939155817e-05, '0_w_std': 0.020710937678813934, '0_w_max': 0.05044325068593025, '0_w_min': -0.04230574518442154, '0_g_norm': 0.4119759500026703, '0_g_mean': -1.814367715269327e-05, '0_g_std': 0.0009194124722853303, '1_w_norm': 1.9683847427368164, '1_w_mean': 0.0014149151975288987, '1_w_std': 0.03888547793030739, '1_w_max': 0.10531637072563171, '1_w_min': -0.07686954736709595, '1_g_norm': 0.256571888923645, '1_g_mean': -3.342393029015511e-11, '1_g_std': 0.0050719380378723145}
{'0_w_norm': 9.280987739562988, '0_w_mean': -4.283208181732334e-05, '0_w_std': 0.020716508850455284, '0_w_max': 0.05099593847990036, '0_w_min': -0.042551908642053604, '0_g_norm': 0.4296156167984009, '0_g_mean': 1.2306637472647708e-05, '0_g_std': 0.000958886812441051, '1_w_norm': 1.9801093339920044, '1_w_mean': 0.0014149151975288987, '1_w_std': 0.03911740332841873, '1_w_max': 0.10745863616466522, '1_w_min': -0.07806128263473511, '1_g_norm': 0.29173994064331055, '1_g_mean': -4.547473508864641e-11, '1_g_std': 0.005767142865806818}
{'0_w_norm': 9.283414840698242, '0_w_mean': -4.451013955986127e-05, '0_w_std': 0.0207219235599041, '0_w_max': 0.051643822342157364, '0_w_min': -0.042797189205884933, '0_g_norm': 0.4156908690929413, '0_g_mean': 2.617558311612811e-05, '0_g_std': 0.0009275144548155367, '1_w_norm': 1.9914332628250122, '1_w_mean': 0.0014149151975288987, '1_w_std': 0.03934139758348465, '1_w_max': 0.10932661592960358, '1_w_min': -0.07944876700639725, '1_g_norm': 0.2803851068019867, '1_g_mean': 7.365770493539259e-11, '1_g_std': 0.0055426801554858685}
{'0_w_norm': 9.286005020141602, '0_w_mean': -4.692338188760914e-05, '0_w_std': 0.02072771266102791, '0_w_max': 0.05237339437007904, '0_w_min': -0.0431286096572876, '0_g_norm': 0.49169695377349854, '0_g_mean': 1.0466889762028586e-05, '0_g_std': 0.001097490661777556, '1_w_norm': 2.0034687519073486, '1_w_mean': 0.0014149150811135769, '1_w_std': 0.039579473435878754, '1_w_max': 0.11178862303495407, '1_w_min': -0.08107174932956696, '1_g_norm': 0.3363875448703766, '1_g_mean': -1.8990249650574498e-10, '1_g_std': 0.006649741902947426}
{'0_w_norm': 9.288636207580566, '0_w_mean': -4.755812915391289e-05, '0_w_std': 0.020733559504151344, '0_w_max': 0.05288050323724747, '0_w_min': -0.04338724538683891, '0_g_norm': 0.4020347595214844, '0_g_mean': 2.3344773580902256e-05, '0_g_std': 0.0008970975177362561, '1_w_norm': 2.0155532360076904, '1_w_mean': 0.0014149153139442205, '1_w_std': 0.03981851786375046, '1_w_max': 0.11343526095151901, '1_w_min': -0.08226693421602249, '1_g_norm': 0.25071272253990173, '1_g_mean': -4.6284184818112806e-10, '1_g_std': 0.004956113174557686}
{'0_w_norm': 9.291213035583496, '0_w_mean': -5.0220125558553264e-05, '0_w_std': 0.020739318802952766, '0_w_max': 0.05353095754981041, '0_w_min': -0.04366975650191307, '0_g_norm': 0.4643838703632355, '0_g_mean': 3.037885471712798e-05, '0_g_std': 0.0010361283784732223, '1_w_norm': 2.027411937713623, '1_w_mean': 0.0014149151975288987, '1_w_std': 0.04005308076739311, '1_w_max': 0.11564406007528305, '1_w_min': -0.08349429070949554, '1_g_norm': 0.33655300736427307, '1_g_mean': -3.150489591430272e-10, '1_g_std': 0.006653012707829475}
{'0_w_norm': 9.293932914733887, '0_w_mean': -5.208254879107699e-05, '0_w_std': 0.020745383575558662, '0_w_max': 0.054093748331069946, '0_w_min': -0.04395890235900879, '0_g_norm': 0.44272324442863464, '0_g_mean': 7.339093599512125e-07, '0_g_std': 0.0009882237063720822, '1_w_norm': 2.039825201034546, '1_w_mean': 0.0014149151975288987, '1_w_std': 0.040298618376255035, '1_w_max': 0.11746976524591446, '1_w_min': -0.08476930111646652, '1_g_norm': 0.3178304135799408, '1_g_mean': -3.2036949482172616e-11, '1_g_std': 0.006282902788370848}
{'0_w_norm': 9.296632766723633, '0_w_mean': -5.4103620641399175e-05, '0_w_std': 0.02075139433145523, '0_w_max': 0.05472838506102562, '0_w_min': -0.04419265314936638, '0_g_norm': 0.3667477071285248, '0_g_mean': 1.9198781956220046e-05, '0_g_std': 0.0008184101316146553, '1_w_norm': 2.052049398422241, '1_w_mean': 0.0014149153139442205, '1_w_std': 0.0405404232442379, '1_w_max': 0.11901790648698807, '1_w_min': -0.08578213304281235, '1_g_norm': 0.24089792370796204, '1_g_mean': 1.8250716216083873e-10, '1_g_std': 0.004762093536555767}
{'0_w_norm': 9.299259185791016, '0_w_mean': -5.6404402130283415e-05, '0_w_std': 0.020757270976901054, '0_w_max': 0.05535994470119476, '0_w_min': -0.04444338008761406, '0_g_norm': 0.377583771944046, '0_g_mean': 1.069229438144248e-05, '0_g_std': 0.0008427551947534084, '1_w_norm': 2.0639431476593018, '1_w_mean': 0.001414914964698255, '1_w_std': 0.04077567532658577, '1_w_max': 0.12132062017917633, '1_w_min': -0.08662305772304535, '1_g_norm': 0.2673930525779724, '1_g_mean': -1.7398633922471873e-10, '1_g_std': 0.0052858516573905945}
{'0_w_norm': 9.301843643188477, '0_w_mean': -5.8751542383106425e-05, '0_w_std': 0.02076302096247673, '0_w_max': 0.055920809507369995, '0_w_min': -0.04475396126508713, '0_g_norm': 0.3976612687110901, '0_g_mean': 1.8595823348732665e-05, '0_g_std': 0.000887444126419723, '1_w_norm': 2.075519561767578, '1_w_mean': 0.0014149150811135769, '1_w_std': 0.04100465774536133, '1_w_max': 0.12370796501636505, '1_w_min': -0.087227463722229, '1_g_norm': 0.26873278617858887, '1_g_mean': -1.8844729943179317e-10, '1_g_std': 0.005312335677444935}
{'0_w_norm': 9.304441452026367, '0_w_mean': -6.034458056092262e-05, '0_w_std': 0.020768815651535988, '0_w_max': 0.05633847042918205, '0_w_min': -0.04500098526477814, '0_g_norm': 0.47258010506629944, '0_g_mean': 1.568674088048283e-05, '0_g_std': 0.0010547522688284516, '1_w_norm': 2.0871176719665527, '1_w_mean': 0.001414914964698255, '1_w_std': 0.04123406857252121, '1_w_max': 0.12495780736207962, '1_w_min': -0.08819012343883514, '1_g_norm': 0.37557676434516907, '1_g_mean': 6.712071176639967e-11, '1_g_std': 0.007424437906593084}
{'0_w_norm': 9.306941986083984, '0_w_mean': -6.235641922103241e-05, '0_w_std': 0.020774386823177338, '0_w_max': 0.056930094957351685, '0_w_min': -0.045272644609212875, '0_g_norm': 0.3809135854244232, '0_g_mean': 2.4966882392618572e-06, '0_g_std': 0.0008502519922330976, '1_w_norm': 2.098217725753784, '1_w_mean': 0.0014149150811135769, '1_w_std': 0.04145362228155136, '1_w_max': 0.12705402076244354, '1_w_min': -0.08901799470186234, '1_g_norm': 0.2653912901878357, '1_g_mean': -1.404373561886274e-10, '1_g_std': 0.005246281158179045}
{'0_w_norm': 9.309463500976562, '0_w_mean': -6.418094562832266e-05, '0_w_std': 0.020780017599463463, '0_w_max': 0.057378292083740234, '0_w_min': -0.045502785593271255, '0_g_norm': 0.36801472306251526, '0_g_mean': 1.998082188947592e-05, '0_g_std': 0.0008212203974835575, '1_w_norm': 2.109377384185791, '1_w_mean': 0.001414914964698255, '1_w_std': 0.041674356907606125, '1_w_max': 0.12841469049453735, '1_w_min': -0.0896923765540123, '1_g_norm': 0.24355977773666382, '1_g_mean': 1.5643308870494366e-10, '1_g_std': 0.004814713262021542}
{'0_w_norm': 9.311877250671387, '0_w_mean': -6.571088306372985e-05, '0_w_std': 0.02078540436923504, '0_w_max': 0.05768432468175888, '0_w_min': -0.04565781354904175, '0_g_norm': 0.4093879461288452, '0_g_mean': 3.86182546208147e-06, '0_g_std': 0.0009138064924627542, '1_w_norm': 2.120006561279297, '1_w_mean': 0.0014149148482829332, '1_w_std': 0.04188459739089012, '1_w_max': 0.12868547439575195, '1_w_min': -0.09039737284183502, '1_g_norm': 0.2908335328102112, '1_g_mean': -2.4983820567925363e-10, '1_g_std': 0.005749225616455078}
{'0_w_norm': 9.314491271972656, '0_w_mean': -6.759849202353507e-05, '0_w_std': 0.020791223272681236, '0_w_max': 0.05817338079214096, '0_w_min': -0.04582513868808746, '0_g_norm': 0.38366636633872986, '0_g_mean': 4.2219337046844885e-05, '0_g_std': 0.0008553589577786624, '1_w_norm': 2.13142728805542, '1_w_mean': 0.0014149146154522896, '1_w_std': 0.04211048409342766, '1_w_max': 0.13045723736286163, '1_w_min': -0.09138607978820801, '1_g_norm': 0.2553517520427704, '1_g_mean': 1.7319053136066742e-10, '1_g_std': 0.0050478181801736355}
{'0_w_norm': 9.31673812866211, '0_w_mean': -6.941275205463171e-05, '0_w_std': 0.020796241238713264, '0_w_max': 0.05856066569685936, '0_w_min': -0.046019311994314194, '0_g_norm': 0.40378859639167786, '0_g_mean': 9.064170626515988e-06, '0_g_std': 0.0009012705995701253, '1_w_norm': 2.1412386894226074, '1_w_mean': 0.0014149148482829332, '1_w_std': 0.04230454936623573, '1_w_max': 0.1314079463481903, '1_w_min': -0.09196825325489044, '1_g_norm': 0.3059455156326294, '1_g_mean': 1.4799753089711487e-10, '1_g_std': 0.0060479603707790375}
